City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,flinders,-34.5833,150.8552,72.18,74,100,4.0,AU,1679281445
268,pevek,69.7008,170.3133,15.75,88,100,5.41,RU,1679281445
269,cuamba,-14.8031,36.5372,67.12,98,96,0.4,MZ,1679281336
270,bunia,1.5667,30.25,60.4,95,100,3.49,CD,1679281222
271,hasaki,35.7333,140.8333,64.29,47,4,12.01,JP,1679281446
272,iwanai,42.9744,140.5089,49.77,54,35,9.75,JP,1679281259
273,muros,42.7762,-9.0603,46.15,94,100,2.33,ES,1679281447
274,semnan,35.5729,53.3971,54.86,47,36,1.7,IR,1679281447
275,geraldton,-28.7667,114.6,84.61,51,3,16.11,AU,1679281357
276,padang,-0.9492,100.3543,84.25,67,94,2.39,ID,1679281448
277,hami,42.8,93.45,42.08,46,94,4.07,CN,1679281449
278,vestmanna,62.1564,-7.1664,31.12,80,71,2.3,FO,1679281449
279,praia da vitoria,38.7333,-27.0667,55.76,82,20,9.78,PT,1679281450
280,christchurch,-43.5333,172.6333,70.92,50,100,16.11,NZ,1679281367
281,nizhnyaya tavda,57.6731,66.1725,19.76,61,100,15.75,RU,1679281451
282,half moon bay,37.4636,-122.4286,56.44,90,100,11.5,US,1679281451
283,dikson,73.5069,80.5464,2.52,93,100,15.03,RU,1679281452
284,jega,12.2175,4.3792,83.17,35,64,6.51,NG,1679281452
285,ayan,56.45,138.1667,22.33,50,13,11.59,RU,1679281453
286,miram shah,33.0086,70.0697,60.57,71,0,1.12,PK,1679281454
287,tiznit,29.5833,-9.5,61.02,42,0,5.14,MA,1679281454
288,talnakh,69.4865,88.3972,-6.84,96,100,16.53,RU,1679281455
289,cartagena del chaira,1.3349,-74.8429,79.07,68,95,1.41,CO,1679281455
290,kysyl-syr,63.8986,122.7617,-14.15,83,8,6.8,RU,1679281456
291,sur,22.5667,59.5289,78.39,49,1,4.92,OM,1679281457
292,gejiu,23.306,103.1635,66.09,46,74,9.6,CN,1679281457
293,ubatuba,-23.4339,-45.0711,74.53,92,41,2.8,BR,1679281457
294,xichang,27.8964,102.2634,68.72,45,54,6.71,CN,1679281273
295,poya,-21.35,165.15,84.79,58,0,9.78,NC,1679281458
296,bangkalan,-7.0455,112.7351,87.75,67,91,2.73,ID,1679281459
297,fredericksburg,38.3032,-77.4605,36.41,50,0,1.01,US,1679281273
298,ercis,39.0287,43.3586,37.89,87,76,0.65,TR,1679281460
299,lastoursville,-0.8143,12.7287,68.67,97,96,1.41,GA,1679281460
300,russell,32.3502,-85.1999,38.8,48,0,10.36,US,1679281461
301,santiago del estero,-27.7951,-64.2615,86.58,40,59,12.8,AR,1679281461
302,pisco,-13.7,-76.2167,73.45,83,0,10.36,PE,1679281462
303,dingle,10.9995,122.6711,83.86,63,95,13.0,PH,1679281462
304,komsomolskiy,40.4272,71.7189,56.12,67,40,2.3,UZ,1679281463
305,ambilobe,-13.2,49.05,71.92,95,32,2.95,MG,1679281463
306,huilong,31.8111,121.655,51.93,90,100,10.87,CN,1679281464
307,olga,43.7444,135.2892,52.75,43,0,2.1,RU,1679281465
308,tuatapere,-46.1333,167.6833,57.92,97,100,6.46,NZ,1679281465
309,shunyi,40.125,116.6453,51.75,62,8,2.24,CN,1679281466
310,olinda,-8.0089,-34.8553,80.33,74,20,2.3,BR,1679281467
311,vostok,46.4856,135.8833,39.43,81,0,5.86,RU,1679281467
312,jefferson city,38.5767,-92.1735,33.87,53,0,6.6,US,1679281264
